aaa	Acidovorax avenae
ccoi	Campylobacter coli RM5611
ccol	Campylobacter coli 76339
ccp	Chondrus crispus (carragheen)
ccq	Campylobacter coli 15-537360
ccr	Caulobacter crescentus CB15
ccs	Caulobacter crescentus NA1000
cct	Coprococcus catus
ccu	Cryptobacterium curtum
ccv	Campylobacter curvus
ccw	Corvus cornix (hooded crow)
ccx	Corallococcus coralloides
ccy	Campylobacter coli RM4661
ccz	Chthonomonas calidirosea
cda	Corynebacterium diphtheriae HC04
cdb	Corynebacterium diphtheriae BH8
cdc	Peptoclostridium difficile CD196
cdd	Corynebacterium diphtheriae CDCE 8392
cde	Corynebacterium diphtheriae HC02
cdf	Peptoclostridium difficile 630
cdg	Peptoclostridium difficile BI1
cdh	Corynebacterium diphtheriae INCA 402
cdi	Corynebacterium diphtheriae NCTC 13129
cdl	Peptoclostridium difficile R20291
cdn	Castellaniella defragrans
cdo	Corynebacterium doosanense
cdp	Corynebacterium diphtheriae 241
cdr	Corynebacterium diphtheriae HC03
cds	Corynebacterium diphtheriae C7
cdt	Corynebacterium diphtheriae HC01
cdu	Candida dubliniensis
cdv	Corynebacterium diphtheriae VA01
cdw	Corynebacterium diphtheriae PW8
cdz	Corynebacterium diphtheriae 31A
cea	Coxiella endosymbiont of Amblyomma americanum
ced	Cedecea sp. ND14b
cef	Corynebacterium efficiens
cel	Caenorhabditis elegans (nematode)
cem	Cedecea sp. M006
cen	Cedecea sp. ND14a
ceo	Cyanobacterium endosymbiont of Epithemia turgida
cep	Crinalium epipsammum
ces	Chlamydia trachomatis E/SW3
cex	Caldisericum exile
cfa	Canis familiaris (dog)
cfd	Citrobacter freundii
cfe	Chlamydophila felis
cff	Campylobacter fetus subsp. fetus 82-40
cfi	Cellulomonas fimi
cfl	Cellulomonas flavigena
cfn	Corynebacterium falsenii
cfp	Campylobacter fetus subsp. testudinum pet-3
cfr	Camelus ferus (Wild Bactrian camel)
cfs	Chlamydia trachomatis F/SW4
cft	Campylobacter fetus subsp. fetus 04/554
cfu	Collimonas fungivorans
cfv	Campylobacter fetus subsp. venerealis cfvi03/293
cfw	Chlamydia trachomatis F/SW5
cfx	Campylobacter fetus subsp. venerealis 97/608
cga	Cellulomonas gilvus
cgb	Corynebacterium glutamicum ATCC 13032 (Bielefeld)
cgc	Cyanobium gracile
cge	Cricetulus griseus (Chinese hamster)
cgg	Corynebacterium glutamicum SCgG2
cgi	Cryptococcus gattii
cgj	Corynebacterium glutamicum ATCC 21831
cgl	Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgm	Corynebacterium glutamicum MB001
cgo	Coriobacterium glomerans
cgq	Corynebacterium glutamicum AR1
cgr	Candida glabrata
cgs	Corynebacterium glutamicum SCgG1
cgt	Corynebacterium glutamicum R
cgu	Corynebacterium glutamicum K051
cgx	Corynebacterium glutamicum B253
cgy	Corynebacterium glycinophilum
cha	Campylobacter hominis
chb	Chlamydia psittaci 6BC
chc	Chlamydia psittaci C19/98
chd	Caldicellulosiruptor hydrothermalis
che	Cardinium endosymbiont cEper1 (Encarsia pergandiella)
chi	Chlamydia psittaci 02DC15
chl	Chloroflexus sp. Y-400-fl
chm	Corynebacterium humireducens
chn	Corynebacterium halotolerans
cho	Cryptosporidium hominis
chp	Chlamydia psittaci 6BC
chr	Chlamydia psittaci RD1
chs	Chlamydia psittaci 01DC11
cht	Chlamydia psittaci 08DC60
chu	Cytophaga hutchinsonii
chx	Capra hircus (goat)
chy	Carboxydothermus hydrogenoformans
chz	Chryseobacterium sp. StRB126
cic	Citrus clementina (mandarin orange)
cid	Celeribacter indicus
cii	Corynebacterium imitans
cim	Coccidioides immitis
cin	Ciona intestinalis (sea squirt)
cis	Campylobacter insulaenigrae
cit	Citrus sinensis (Valencia orange)
cja	Cellvibrio japonicus
cjb	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
cjc	Callithrix jacchus (white-tufted-ear marmoset)
cjd	Campylobacter jejuni subsp. doylei 269.97
cje	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
cjei	Campylobacter jejuni subsp. jejuni 00-2425
cjej	Campylobacter jejuni subsp. jejuni 00-2426
cjen	Campylobacter jejuni subsp. jejuni 00-2544
cjer	Campylobacter jejuni subsp. jejuni R14
cjeu	Campylobacter jejuni subsp. jejuni 00-2538
cji	Campylobacter jejuni subsp. jejuni IA3902
cjj	Campylobacter jejuni subsp. jejuni 81-176
cjk	Corynebacterium jeikeium
cjm	Campylobacter jejuni subsp. jejuni M1
cjn	Campylobacter jejuni subsp. jejuni ICDCCJ07001
cjp	Campylobacter jejuni subsp. jejuni PT14
cjr	Campylobacter jejuni RM1221
cjs	Campylobacter jejuni subsp. jejuni S3
cju	Campylobacter jejuni subsp. jejuni 81116
cjv	Campylobacter jejuni subsp. jejuni MTVDSCj20
cjx	Campylobacter jejuni 4031
cjz	Campylobacter jejuni 32488
cki	Caldicellulosiruptor kristjanssonii
ckl	Clostridium kluyveri DSM 555
ckn	Caldicellulosiruptor kronotskyensis
cko	Citrobacter koseri
ckp	Corynebacterium kroppenstedtii
ckr	Clostridium kluyveri NBRC 12016
cla	Campylobacter lari RM2100
clb	Clostridium sp. BNL1100
clc	Caldicellulosiruptor lactoaceticus
cle	Cellulosilyticum lentocellum
clg	Caldisphaera lagunensis
clh	Cellulophaga lytica HI1
cli	Chlorobium limicola
clj	Clostridium ljungdahlii
cll	Campylobacter lari subsp. concheus LMG 11760
clm	Campylobacter lari RM16712
cln	Campylobacter lari NCTC 11845
clo	Clostridiales genomosp. BVAB3
clp	Chlamydia pneumoniae LPCoLN
clq	Campylobacter lari CCUG 22395
clr	Campylobacter lari RM16701
cls	Clostridium sp. SY8519
clt	Clostridium sp. M2/40
clu	Clavispora lusitaniae
clv	Columba livia (rock pigeon)
cly	Cellulophaga lytica DSM 7489
cma	Caldivirga maquilingensis
cmc	Clavibacter michiganensis subsp. nebraskensis
cmd	Corynebacterium maris
cme	Cyanidioschyzon merolae
cmg	Chlamydia muridarum Nigg3 clone G28.38.1
cmi	Clavibacter michiganensis subsp. michiganensis
cmk	Callorhinchus milii (elephant shark)
cml	Carnobacterium maltaromaticum
cmm	Chlamydia muridarum Nigg3 clone G0.1.1
cmn	Chlamydia muridarum Nigg 2 MCR
cmo	Cucumis melo (muskmelon)
cmp	Chamaesiphon minutus
cmq	Corynebacterium marinum
cmr	Cyclobacterium marinum
cms	Clavibacter michiganensis subsp. sepedonicus
cmt	Cordyceps militaris
cmu	Chlamydia muridarum Nigg
cmur	Chlamydia muridarum Nigg CM972
cmx	Chlamydia muridarum Nigg3
cmy	Chelonia mydas (green sea turtle)
cmz	Chlamydia muridarum Nigg3 CMUT3-5
cnb	Cryptococcus neoformans B-3501A
cnc	Cupriavidus necator N-1
cne	Cryptococcus neoformans JEC21
cni	Calditerrivibrio nitroreducens
cno	Clostridium novyi
cnt	Cedecea neteri
coa	Corynebacterium sp. ATCC 6931
cob	Caldicellulosiruptor obsidiansis
coc	Capnocytophaga ochracea
cod	Corynebacterium pseudotuberculosis 1/06-A
coe	Corynebacterium pseudotuberculosis 258
coi	Corynebacterium pseudotuberculosis CIP 52.97
coo	Coprococcus sp. ART55/1
cop	Corynebacterium pseudotuberculosis 31
cor	Corynebacterium pseudotuberculosis 267
cos	Corynebacterium pseudotuberculosis 42/02-A
cot	Candida orthopsilosis
cou	Corynebacterium pseudotuberculosis Cp162
cow	Caldicellulosiruptor owensensis
cpa	Chlamydia pneumoniae AR39
cpas	Clostridium pasteurianum
cpb	Chlorobium phaeobacteroides BS1
cpc	Chlorobaculum parvum
cpe	Clostridium perfringens 13
cpec	Chlamydia pecorum P787
cpel	Campylobacter peloridis
cpeo	Chlamydia pecorum PV3056/3
cper	Chlamydia pecorum W73
cpf	Clostridium perfringens ATCC 13124
cpg	Corynebacterium pseudotuberculosis 316
cph	Chlorobium phaeobacteroides DSM 266
cpi	Chitinophaga pinensis
cpj	Chlamydia pneumoniae J138
cpk	Corynebacterium pseudotuberculosis 1002
cpl	Corynebacterium pseudotuberculosis 3/99-5
cpm	Chlamydia pecorum E58
cpn	Chlamydia pneumoniae CWL029
cpo	Coprothermobacter proteolyticus
cpp	Corynebacterium pseudotuberculosis P54B96
cpq	Corynebacterium pseudotuberculosis C231
cpr	Clostridium perfringens SM101
cps	Colwellia psychrerythraea
cpsa	Chlamydia psittaci Mat116
cpsb	Chlamydia psittaci 84/55
cpsc	Chlamydia psittaci CP3
cpsd	Chlamydia psittaci 01DC12
cpse	Corynebacterium pseudotuberculosis 48252
cpsf	Corynebacterium pseudotuberculosis Ft_2193/67
cpsg	Chlamydia psittaci GR9
cpsi	Chlamydia psittaci MN
cpsm	Chlamydia psittaci M56
cpsn	Chlamydia psittaci NJ1
cpst	Chlamydia psittaci WS/RT/E30
cpsu	Corynebacterium pseudotuberculosis CS_10
cpsv	Chlamydia psittaci VS225
cpsw	Chlamydia psittaci WC
cpt	Chlamydia pneumoniae TW183
cpu	Corynebacterium pseudotuberculosis FRC41
cput	Coniophora puteana
cpv	Cryptosporidium parvum
cpw	Coccidioides posadasii
cpx	Corynebacterium pseudotuberculosis I19
cpy	Lachnoclostridium phytofermentans
cpz	Corynebacterium pseudotuberculosis PAT10
cqu	Culex quinquefasciatus (southern house mosquito)
cra	Chlamydia trachomatis A2497
crb	Capsella rubella
crc	Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)
crd	Corynebacterium resistens
cre	Chlamydomonas reinhardtii
crh	Candidatus Carsonella ruddii HC (Heteropsylla cubana)
cri	Candidatus Carsonella ruddii DC (Diaphorina citri)
crn	Carnobacterium sp. 17-4
cro	Citrobacter rodentium
crp	Candidatus Carsonella ruddii PV (Pachypsylla venusta)
crt	Candidatus Carsonella ruddii HT (Heteropsylla texana)
cru	Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)
crv	Candidatus Carsonella ruddii PC (Pachypsylla celtidis)
csa	Chromohalobacter salexigens
csb	Clostridium saccharobutylicum
csc	Caldicellulosiruptor saccharolyticus
csd	Clostridium stercorarium subsp. stercorarium DSM 8532
cse	Caulobacter segnis
csf	Campylobacter subantarcticus LMG 24377
csg	Cylindrospermum stagnale
csh	Clostridium saccharolyticum WM1
csi	Cronobacter sakazakii CMCC 45402
csk	Cronobacter sakazakii ES15
csl	Coccomyxa subellipsoidea
csm	Campylobacter subantarcticus LMG 24374
csn	Cyanobacterium stanieri
cso	Clostridium cf. saccharolyticum K10
csr	Clostridium saccharoperbutylacetonicum
css	Clostridium stercorarium subsp. stercorarium DSM 8532
cst	Clostridium sticklandii
csu	Candidatus Caldiarchaeum subterraneum
csv	Cucumis sativus (cucumber)
csw	Chlamydia trachomatis Sweden2
csx	Corynebacterium singulare
csy	Cenarchaeum symbiosum
csz	Cronobacter sakazakii Sp291
cta	Chlamydia trachomatis A/HAR-13
ctb	Chlamydia trachomatis L2/434/Bu
ctc	Clostridium tetani E88
ctcf	Chlamydia trachomatis RC-F/69
ctch	Chlamydia trachomatis F/11-96
ctcj	Chlamydia trachomatis RC-J/943
ctct	Chlamydia trachomatis C/TW-3
ctd	Chlamydia trachomatis D-EC
cte	Chlorobium tepidum
ctec	Chlamydia trachomatis E/C599
cten	Candida tenuis
cter	Corynebacterium terpenotabidum
ctes	Comamonas testosteroni TK102
ctet	Clostridium tetani 12124569
ctf	Chlamydia trachomatis D-LC
ctfs	Chlamydia trachomatis RC-F(s)/342
ctfw	Chlamydia trachomatis F/SWFPminus
ctg	Chlamydia trachomatis E/11023
cth	Ruminiclostridium thermocellum ATCC 27405
cthe	Chroococcidiopsis thermalis
cthf	Chlamydia trachomatis RC-F(s)/852
cthj	Chlamydia trachomatis RC-J/953
cthr	Chaetomium thermophilum
cti	Cupriavidus taiwanensis
ctj	Chlamydia trachomatis B/Jali20/OT
ctjs	Chlamydia trachomatis RC-J(s)/122
ctjt	Chlamydia trachomatis J/6276tet1
ctk	Chlamydia trachomatis E/150
ctl	Chlamydia trachomatis L2b/UCH-1/proctitis
ctla	Chlamydia trachomatis L2b/Ams2
ctlb	Chlamydia trachomatis L2b/795
ctlc	Chlamydia trachomatis L2b/Canada1
ctlf	Chlamydia trachomatis L2/434/Bu(f)
ctli	Chlamydia trachomatis L2/434/Bu(i)
ctlj	Chlamydia trachomatis L1/115
ctll	Chlamydia trachomatis L1/440/LN
ctlm	Chlamydia trachomatis L2b/Ams3
ctln	Chlamydia trachomatis L2b/Canada2
ctlq	Chlamydia trachomatis L2b/8200/07
ctls	Chlamydia trachomatis L2b/Ams4
ctlx	Chlamydia trachomatis L1/224
ctlz	Chlamydia trachomatis L2b/Ams5
ctm	Candidatus Chloracidobacterium thermophilum B
ctmj	Chlamydia trachomatis RC-J/966
ctn	Chlamydia trachomatis G/11074
cto	Chlamydia trachomatis L2c
ctp	Candida tropicalis
ctq	Chlamydia trachomatis G/11222
ctr	Chlamydia trachomatis D/UW-3/CX
ctra	Chlamydia trachomatis IU888
ctrb	Chlamydia trachomatis E/Bour
ctrc	Chlamydia trachomatis RC-L2/55
ctrd	Chlamydia trachomatis D/SotonD1
ctre	Chlamydia trachomatis E/SotonE4
ctrf	Chlamydia trachomatis F/SotonF3
ctrg	Chlamydia trachomatis G/SotonG1
ctrh	Chlamydia trachomatis Ia/SotonIa1
ctri	Chlamydia trachomatis IU824
ctrj	Chlamydia trachomatis Ia/SotonIa3
ctrk	Chlamydia trachomatis K/SotonK1
ctrl	Chlamydia trachomatis L2b/LST
ctrm	Chlamydia trachomatis L2b/Ams1
ctrn	Chlamydia trachomatis L3/404/LN
ctro	Chlamydia trachomatis D/SotonD5
ctrp	Chlamydia trachomatis L1/1322/p2
ctrq	Chlamydia trachomatis A/363
ctrr	Chlamydia trachomatis L2/25667R
ctrs	Chlamydia trachomatis E/SotonE8
ctrt	Chlamydia trachomatis D/SotonD6
ctru	Chlamydia trachomatis L2b/UCH-2
ctrv	Chlamydia trachomatis L2b/CV204
ctrw	Chlamydia trachomatis RC-L2(s)/3
ctrx	Chlamydia trachomatis A/5291
ctry	Chlamydia trachomatis RC-L2(s)/46
ctrz	Chlamydia trachomatis A/7249
cts	Chloroherpeton thalassium
ctt	Comamonas testosteroni CNB-2
cttj	Chlamydia trachomatis RC-J/971
ctu	Cronobacter turicensis
ctv	Chlamydia trachomatis G/9301
ctw	Chlamydia trachomatis G/9768
ctx	Ruminiclostridium thermocellum DSM 1313
cty	Chlamydia trachomatis A2497
ctz	Chlamydia trachomatis B/TZ1A828/OT
cua	Corynebacterium urealyticum DSM 7111
cuc	Corynebacterium ulcerans 809
cue	Corynebacterium ulcerans 0102
cul	Corynebacterium ulcerans BR-AD22
cun	Corynebacterium ulcerans 210932
cuq	Corynebacterium ulcerans 210931
cur	Corynebacterium urealyticum DSM 7109
cus	Corynebacterium ulcerans FRC11
cuv	Corynebacterium ureicelerivorans
cuz	Corynebacterium ulcerans 05146
cva	Corynebacterium variabile
cvi	Chromobacterium violaceum
cvo	Campylobacter volucris
cvr	Chlorella variabilis
cvt	Corynebacterium vitaeruminis
cwo	Conexibacter woesei
cya	Synechococcus sp. JA-3-3Ab
cyb	Synechococcus sp. JA-2-3B'a(2-13)
cyc	Cyanothece sp. PCC 7424
cyh	Cyanothece sp. PCC 8802
cyj	Cyanothece sp. PCC 7822
cyn	Cyanothece sp. PCC 7425
cyp	Cyanothece sp. PCC 8801
cyq	Cycloclasticus sp. P1
cyt	Cyanothece sp. ATCC 51142
cyu	Cyanobacterium UCYN-A
cza	Cycloclasticus zancles
dac	Delftia acidovorans
dae	Desulfotomaculum acetoxidans
daf	Desulfovibrio africanus
dai	Desulfosporosinus acidiphilus
dak	Desulfurivibrio alkaliphilus
dal	Desulfatibacillum alkenivorans
dan	Drosophila ananassae
dao	Desulfobacca acetoxidans
dap	Denitrovibrio acetiphilus
dar	Dechloromonas aromatica
das	Desulfovibrio aespoeensis
dat	Desulfobacterium autotrophicum
dau	Candidatus Desulforudis audaxviator
dav	Desulfurella acetivorans
dba	Desulfomicrobium baculatum
dbr	Desulfarculus baarsii
dca	Desulfotomaculum carboxydivorans
dda	Dickeya dadantii Ech703
ddc	Dickeya dadantii Ech586
ddd	Dickeya dadantii 3937
dde	Desulfovibrio alaskensis
ddf	Deferribacter desulfuricans
ddh	Desulfitobacterium dehalogenans
ddi	Dictyostelium discoideum (cellular slime mold)
ddl	Desulfitobacterium dichloroeliminans
ddn	Desulfovibrio desulfuricans ND132
ddr	Deinococcus deserti
dds	Desulfovibrio desulfuricans ATCC 27774
deb	Dehalococcoides mccartyi BAV1
dec	Dehalobacter sp. CF
ded	Dehalobacter sp. DCA
deg	Dehalococcoides mccartyi GT
deh	Dehalococcoides mccartyi CBDB1
del	Delftia sp. Cs1-4
der	Drosophila erecta
det	Dehalococcoides mccartyi 195
dev	Dehalococcoides mccartyi VS
dfa	Dictyostelium fasciculatum (cellular slime mold)
dfd	Desulfurococcus fermentans
dfe	Dyadobacter fermentans
dge	Deinococcus geothermalis
dgg	Desulfovibrio gigas
dgi	Desulfotomaculum gibsoniae
dgo	Deinococcus gobiensis
dgr	Drosophila grimshawi
dha	Debaryomyces hansenii
dhd	Desulfitobacterium hafniense DCB-2
dhy	Desulfovibrio hydrothermalis
dia	Acidovorax ebreus
din	Desulfurispirillum indicum
dja	Dyella japonica
dji	Dyella jiangningensis
dka	Desulfurococcus kamchatkensis
dku	Desulfotomaculum kuznetsovii
dly	Dehalogenimonas lykanthroporepellens
dma	Desulfovibrio magneticus
dmc	Dehalococcoides mccartyi BTF08
dmd	Dehalococcoides mccartyi DCMB5
dme	Drosophila melanogaster (fruit fly)
dmg	Dehalococcoides mccartyi GY50
dmi	Desulfosporosinus meridiei
dmo	Drosophila mojavensis
dmr	Deinococcus maricopensis
dmt	Desulfitobacterium metallireducens
dmu	Desulfurococcus mucosus
dmx	Dehalococcoides mccartyi CG1
dmy	Dehalococcoides mccartyi CG4
dmz	Dehalococcoides mccartyi CG5
dni	Dermacoccus nishinomiyaensis
dno	Dichelobacter nodosus
doi	Draconibacterium orientale
dok	Dokdonia sp. MED134
dol	Candidatus Desulfococcus oleovorans
dor	Desulfosporosinus orientis
dosa	Oryza sativa japonica (Japanese rice) (RAPDB)
dpb	delta proteobacterium BABL1
dpd	Deinococcus peraridilitoris
dpe	Drosophila persimilis
dpi	Desulfovibrio piezophilus
dpo	Drosophila pseudoobscura pseudoobscura
dpp	Dictyostelium purpureum (cellular slime mold)
dpr	Desulfobulbus propionicus
dps	Desulfotalea psychrophila
dpt	Deinococcus proteolyticus
dra	Deinococcus radiodurans
dre	Danio rerio (zebrafish)
drm	Desulfotomaculum reducens
drs	Dehalobacter restrictus
drt	Desulfohalobium retbaense
dru	Desulfotomaculum ruminis
dsa	Desulfovibrio salexigens
dse	Drosophila sechellia
dsf	Desulfocapsa sulfexigens
dsh	Dinoroseobacter shibae
dsi	Drosophila simulans
dsl	Dactylococcopsis salina
dsq	Dichomitus squalens
dsu	Dechlorosoma suillum
dsw	Deinococcus swuensis
dsy	Desulfitobacterium hafniense Y51
dte	Desulfurobacterium thermolithotrophum
dth	Dictyoglomus thermophilum
dti	Desulfomonile tiedjei
dto	Desulfobacula toluolica
dtu	Dictyoglomus turgidum
dvg	Desulfovibrio vulgaris RCH1
dvi	Drosophila virilis
dvl	Desulfovibrio vulgaris DP4
dvm	Desulfovibrio vulgaris Miyazaki F
dvu	Desulfovibrio vulgaris Hildenborough
dwi	Drosophila willistoni
dya	Drosophila yakuba
dzc	Dickeya zeae EC1
dze	Dickeya zeae Ech1591
eaa	Endosymbiont of Acanthamoeba sp. UWC8
eab	Escherichia coli ABU 83972
eac	Eubacterium acidaminophilum
ead	Ensifer adhaerens
eae	Enterobacter aerogenes KCTC 2190
eam	Erwinia amylovora CFBP1430
ean	Exiguobacterium antarcticum
eao	Elizabethkingia anophelis
ear	Enterobacter aerogenes EA1509E
eas	Enterobacter asburiae LF7a
eat	Exiguobacterium sp. AT1b
eau	Enterobacter asburiae L1
eay	Erwinia amylovora ATCC 49946
eba	Aromatoleum aromaticum
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
ebe	Escherichia coli BL21(DE3)
ebf	Enterobacteriaceae bacterium FGI 57
ebi	Erwinia billingiae
ebl	Escherichia coli BL21(DE3)
ebr	Escherichia coli B REL606
ebt	Shimwellia blattae
ebw	Escherichia coli K-12 MC4100(MuLac) BW2952
eca	Pectobacterium atrosepticum SCRI1043
ecas	Enterococcus casseliflavus
ecb	Equus caballus (horse)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
ecd	Escherichia coli K-12 DH10B
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
ech	Ehrlichia chaffeensis Arkansas
echa	Ehrlichia chaffeensis Heartland
echj	Ehrlichia chaffeensis Jax
echl	Ehrlichia chaffeensis Liberty
echp	Ehrlichia chaffeensis West Paces
echs	Ehrlichia chaffeensis Osceola
echv	Ehrlichia chaffeensis Saint Vincent
echw	Ehrlichia chaffeensis Wakulla
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
ecj	Escherichia coli K-12 W3110
eck	Escherichia coli 55989 (EAEC)
ecl	Escherichia coli ATCC 8739
ecla	Enterobacter cloacae ECNIH3
eclc	Enterobacter cloacae ECR091
ecle	Enterobacter cloacae ECNIH2
eclg	Enterobacter cloacae GGT036
ecln	Enterobacter cloacae ECNIH4
eclo	Enterobacter cloacae subsp. cloacae NCTC 9394
ecm	Escherichia coli SMS-3-5 (environmental)
ecn	Ehrlichia canis
eco	Escherichia coli K-12 MG1655
ecoa	Escherichia coli APEC O78
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
ecoi	Escherichia coli PMV-1
ecoj	Escherichia coli JJ1886
ecok	Escherichia coli K-12 MDS42
ecol	Escherichia coli LY180
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
ecq	Escherichia coli O81 ED1a (commensal)
ecr	Escherichia coli O8 IAI1 (commensal)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
ecu	Encephalitozoon cuniculi
ecv	Escherichia coli APEC O1 (APEC)
ecw	Escherichia coli E24377A (ETEC)
ecx	Escherichia coli O9 HS (commensal)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
edh	Escherichia coli DH1
edi	Entamoeba dispar
edj	Escherichia coli DH1
eec	Enterobacter cloacae EcWSU1
eel	Eubacterium eligens
efa	Enterococcus faecalis V583
efau	Enterococcus faecium Aus0085
efc	Enterococcus faecium Aus0004
efd	Enterococcus faecalis D32
efe	Escherichia fergusonii
efi	Enterococcus faecalis OG1RF
efl	Enterococcus faecalis 62
efm	Enterococcus faecium NRRL B-2354
efn	Enterococcus faecalis DENG1
efq	Enterococcus faecalis ATCC 29212
efs	Enterococcus faecalis Symbioflor 1
eft	Enterococcus faecium T110
efu	Enterococcus faecium DO
egr	Eucalyptus grandis (rose gum)
eha	Ethanoligenens harbinense
ehe	Encephalitozoon hellem
ehh	Ehrlichia sp. HF
ehi	Entamoeba histolytica
ehr	Enterococcus hirae
ehx	Emiliania huxleyi
eic	Edwardsiella ictaluri
eih	Escherichia coli IHE3034
ein	Encephalitozoon intestinalis
ekf	Escherichia coli KO11FL
eko	Escherichia coli KO11FL
ela	Eutypa lata
elc	Escherichia coli clone D i14
eld	Escherichia coli clone D i2
ele	Eggerthella lenta
elf	Escherichia coli LF82
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
eli	Erythrobacter litoralis
ell	Escherichia coli W
elm	Eubacterium limosum
eln	Escherichia coli O83:H1 NRG 857C
elo	Escherichia coli O44:H18 042 (EAEC)
elp	Escherichia coli P12b
elr	Escherichia coli O55:H7 RM12579 (EPEC)
elu	Escherichia coli UM146
elv	Endosymbiont of Llaveia axin axin
elw	Escherichia coli W
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
emi	Elusimicrobium minutum
emr	Ehrlichia muris
emu	Enterococcus mundtii
ena	Escherichia coli NA114
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
ene	Enterococcus sp. 7L76
enl	Enterobacter cloacae subsp. dissolvens SDM
eno	Enterobacter cloacae subsp. cloacae ENHKU01
enr	Enterobacter sp. R4-368
ent	Enterobacter sp. 638
eoc	Escherichia coli O7:K1 CE10
eoh	Escherichia coli O103:H2 12009 (EHEC)
eoi	Escherichia coli O111:H- 11128 (EHEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
eol	Emticicia oligotrophica
epr	Erwinia pyrifoliae DSM 12163
epy	Erwinia pyrifoliae Ep1/96
era	Eubacterium rectale M104/1
erc	Eremothecium cymbalariae
ere	Eubacterium rectale ATCC 33656
erg	Ehrlichia ruminantium Gardel
erh	Erysipelothrix rhusiopathiae Fujisawa
erj	Erwinia sp. Ejp617
ero	Encephalitozoon romaleae
ers	Erysipelothrix rhusiopathiae SY1027
ert	Eubacterium rectale DSM 17629
eru	Ehrlichia ruminantium Welgevonden (South Africa)
erw	Ehrlichia ruminantium Welgevonden (France)
esa	Cronobacter sakazakii ATCC BAA-894
esc	Enterobacter lignolyticus
ese	Escherichia coli O150:H5 SE15 (commensal)
esi	Exiguobacterium sibiricum
esl	Escherichia coli O104:H4 2011C-3493
esm	Escherichia coli O104:H4 2009EL-2050
eso	Escherichia coli O104:H4 2009EL-2071
esr	Eubacterium siraeum V10Sc8a
esu	Eubacterium siraeum 70/3
eta	Erwinia tasmaniensis
etc	Edwardsiella piscicida C07-087
etd	Edwardsiella tarda FL6-60
ete	Edwardsiella tarda 080813
etr	Edwardsiella tarda EIB202
etw	Escherichia coli O157:H7 TW14359 (EHEC)
euc	Eubacterium cylindroides
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
eun	Escherichia coli UMNK88
eus	Eutrema salsugineum
evi	Echinicola vietnamensis
exm	Exiguobacterium sp. MH3
eyy	Eggerthella sp. YY7918
faa	Filifactor alocis
fab	Ficedula albicollis (collared flycatcher)
fac	Ferroplasma acidarmanus
fae	Fibrella aestuarina
fal	Frankia alni
fau	Frateuria aurantia
fba	Flavobacteriaceae bacterium
fbc	Maribacter sp. HTCC2170
fbl	Ferrimonas balearica
fbr	Flavobacterium branchiophilum
fca	Felis catus (domestic cat)
fcf	Francisella cf. novicida Fx1
fch	Falco cherrug (Saker falcon)
fcn	Francisella cf. novicida 3523
fco	Flavobacterium columnare
ffo	Fervidicoccus fontis
fgi	Fimbriimonas ginsengisoli
fgr	Fusarium graminearum
fgu	Francisella guangzhouensis
fin	Flavobacterium indicum
fjo	Flavobacterium johnsoniae
fli	Flexibacter litoralis
fma	Finegoldia magna
fme	Fomitiporia mediterranea
fna	Francisella noatunensis subsp. orientalis Toba 04
fnc	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
fne	Fusobacterium nucleatum subsp. animalis 7_1
fnl	Francisella noatunensis subsp. orientalis LADL--07-285A
fno	Fervidobacterium nodosum
fnt	Fusobacterium nucleatum subsp. vincentii 3_1_27
fnu	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
fpa	Faecalibacterium prausnitzii SL3/3
fpc	Flavobacterium psychrophilum CSF259-93
fpe	Fervidobacterium pennivorans
fpg	Falco peregrinus (peregrine falcon)
fph	Francisella philomiragia subsp. philomiragia ATCC 25017
fpi	Francisella philomiragia O#319-029
fpj	Francisella philomiragia GA01-2801
fpk	Flavobacterium psychrophilum v4-33
fpl	Ferroglobus placidus
